iter,timestep,episodes,train_dist,train_pulses,eval_dist,eval_pulses
294,602112,67,14.117193,29.5821,,
295,604160,66,14.195152,30.3485,14.626828,35.0000
296,606208,70,14.170411,28.9286,,
297,608256,67,14.098568,28.9104,,
298,610304,64,14.399562,31.0312,,
299,612352,62,14.196896,32.4194,,
300,614400,67,13.973835,29.3731,14.416139,36.2500
301,616448,68,14.406444,29.4265,,
302,618496,65,14.384359,30.6769,,
303,620544,63,14.162693,31.6032,,
304,622592,67,14.140240,29.3881,,
305,624640,69,14.217762,28.9855,14.005636,33.5000
306,626688,68,13.882366,29.6176,,
307,628736,65,14.177512,30.2000,,
308,630784,70,13.958265,28.5286,,
309,632832,61,14.224395,32.6885,,
310,634880,74,13.988485,26.3919,13.252744,41.5000
311,636928,73,14.139590,27.5890,,
312,638976,61,14.165431,32.2623,,
313,641024,66,14.196819,30.3485,,
314,643072,67,14.438757,29.0597,,
315,645120,70,14.340061,28.6286,14.271710,50.0000
316,647168,67,14.245033,30.1791,,
317,649216,73,14.198064,27.1507,,
318,651264,76,14.118164,25.9474,,
319,653312,69,14.278986,28.0435,,
320,655360,76,14.266442,26.1316,14.582480,42.0000
321,657408,76,14.234748,26.5921,,
322,659456,70,14.117178,27.9286,,
323,661504,69,14.156304,29.0290,,
324,663552,61,14.248901,32.2295,,
325,665600,69,14.243748,28.3043,14.760629,41.5000
326,667648,66,14.203987,30.1061,,
327,669696,65,13.894045,30.8615,,
328,671744,70,14.048706,28.2429,,
329,673792,71,13.878326,27.7606,,
330,675840,62,14.329443,31.9516,15.622278,41.5000
331,677888,68,14.181776,29.2647,,
332,679936,69,14.194696,29.2029,,
333,681984,67,14.304540,29.6119,,
334,684032,65,14.225187,30.3692,,
335,686080,68,14.018847,29.2059,14.549853,42.2500
336,688128,66,14.092726,30.5000,,
337,690176,72,14.043193,27.2639,,
338,692224,63,14.280578,31.8413,,
339,694272,65,14.094927,30.6308,,
340,696320,69,14.110147,28.6667,14.516273,41.2500
341,698368,69,14.177607,28.9855,,
342,700416,65,14.131176,30.6923,,
343,702464,77,14.150327,25.6234,,
344,704512,74,14.146973,26.8649,,
345,706560,70,14.042019,28.2286,15.175153,35.2500
346,708608,72,14.114055,27.7361,,
347,710656,66,13.989697,30.1818,,
348,712704,71,14.232871,27.4789,,
349,714752,73,14.476185,27.6575,,
350,716800,71,13.999777,27.5211,14.158093,46.7500
351,718848,70,14.200838,28.8429,,
